Ano,Mes,IdRegion,IdServicio,IdComuna,IdEstablecimiento,50_54,55_59,60_64,65_69,numerador_mujeres_50_69,servicio_salud_piv,dependencia_piv,comuna_piv,establecimiento_piv,denominador_piv_mujeres_50_69,codigo_madre_master,servicio_salud_master,tipo_establecimiento_master,establecimiento_master,dependencia_master,comuna_master,estado_funcionamiento_master,denominador_disponible,cobertura_mamografia_pct,advertencia_cobertura_establecimiento
2025,12,13,9,13104,109302,353,347,396,262,1358,Metropolitano Norte,Municipal ,Conchalí,Centro De Salud Familiar Lucas Sierra,3907.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lucas Sierra,Municipal,Conchalí,Vigente en Operación Habitual,True,34.758126439723576,
2025,12,13,9,13104,109308,368,405,408,181,1362,Metropolitano Norte,Municipal ,Conchalí,Centro De Salud Familiar Alberto Bachelet Martínez,3814.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Alberto Bachelet Martínez,Municipal,Conchalí,Vigente en Operación Habitual,True,35.710540115364445,
2025,12,13,9,13104,109309,295,305,236,123,959,Metropolitano Norte,Municipal ,Conchalí,Centro De Salud Familiar José Symon Ojeda,3245.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar José Symon Ojeda,Municipal,Conchalí,Vigente en Operación Habitual,True,29.553158705701076,
2025,12,13,9,13104,109314,234,458,568,210,1470,Metropolitano Norte,Municipal ,Conchalí,Centro De Salud Familiar Juanita Aguirre,3586.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juanita Aguirre,Municipal,Conchalí,Vigente en Operación Habitual,True,40.99274958170664,
2025,12,13,9,13104,109709,115,93,103,67,378,Metropolitano Norte,Municipal ,Conchalí,Centro Comunitario De Salud Familiar Dr. José Symón Ojeda,620.0,109309,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Municipal,Conchalí,Vigente en Operación Habitual,True,60.967741935483865,
2025,12,13,9,13104,200347,116,105,131,60,412,Metropolitano Norte,Municipal ,Conchalí,Centro Comunitario De Salud Familiar Alberto Bachelet,270.0,109308,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Alberto Bachelet,Municipal,Conchalí,Vigente en Operación Habitual,True,152.59259259259258,
2025,12,13,9,13104,200609,67,57,58,18,200,Metropolitano Norte,Municipal ,Conchalí,Centro Comunitario De Salud Familiar Dr. Lucas Sierra,106.0,109302,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Dr. Lucas Sierra,Municipal,Conchalí,Vigente en Operación Habitual,True,188.67924528301887,
2025,12,13,9,13107,109305,395,425,376,138,1334,Metropolitano Norte,Municipal ,Huechuraba,Centro De Salud Familiar  La Pincoya,3407.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar La Pincoya,Municipal,Huechuraba,Vigente en Operación Habitual,True,39.154681538009974,
2025,12,13,9,13107,109317,216,202,146,56,620,Metropolitano Norte,Municipal ,Huechuraba,Centro De Salud Familiar El Barrero,1476.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar El Barrero,Municipal,Huechuraba,Vigente en Operación Habitual,True,42.00542005420054,
2025,12,13,9,13107,109323,305,267,177,74,823,Metropolitano Norte,Municipal ,Huechuraba,Centro De Salud Familiar Dr. Salvador Allende Gossens (Huechuraba),2061.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Salvador Allende Gossens,Municipal,Huechuraba,Vigente en Operación Habitual,True,39.932071809801066,
2025,12,13,9,13107,109718,91,106,136,88,421,Metropolitano Norte,Municipal ,Huechuraba,Centro Comunitario De Salud Familiar Los Libertadores,1173.0,109305,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Los Libertadores,Municipal,Huechuraba,Vigente en Operación Habitual,True,35.89087809036658,
2025,12,13,9,13107,200961,164,133,153,147,597,Metropolitano Norte,Municipal ,Huechuraba,Cesfam Dr. Victor Castro Wirén,1438.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Victor Castro Wiren,Municipal,Huechuraba,Vigente en Operación Habitual,True,41.51599443671766,
2025,12,13,9,13108,109300,690,603,584,253,2130,Metropolitano Norte,Municipal ,Independencia,Centro De Salud Familiar Agustín Cruz Melo,7839.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Agustín Cruz Melo,Municipal,Independencia,Vigente en Operación Habitual,True,27.171833141982393,
2025,12,13,9,13108,109321,432,429,376,273,1510,Metropolitano Norte,Municipal ,Independencia,Centro De Salud Familiar Juan Antonio Ríos,3402.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juan Antonio Ríos,Municipal,Independencia,Vigente en Operación Habitual,True,44.38565549676661,
2025,12,13,9,13108,200554,105,147,129,79,460,Metropolitano Norte,Municipal ,Independencia,Cecof Las Enredaderas,117.0,109300,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Las Enredaderas,Municipal,Independencia,Vigente en Operación Habitual,True,393.16239316239313,
2025,12,13,9,13125,109313,411,386,365,182,1344,Metropolitano Norte,Municipal ,Quilicura,Centro De Salud Familiar  Irene Frei De Cid,4571.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Irene Frei de Cid,Municipal,Quilicura,Vigente en Operación Habitual,True,29.402756508422666,
2025,12,13,9,13125,109315,521,526,431,206,1684,Metropolitano Norte,Municipal ,Quilicura,Centro De Salud Familiar  Manuel Bustos De Quilicura,5539.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Manuel Bustos Huerta,Municipal,Quilicura,Vigente en Operación Habitual,True,30.402599747246796,
2025,12,13,9,13125,109324,655,529,409,143,1736,Metropolitano Norte,Municipal ,Quilicura,Centro De Salud Familiar Presidente Salvador Allende Gossens (Quilicura),6445.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Presidente Salvador Allende Gossens,Municipal,Quilicura,Vigente en Operación Habitual,True,26.935608999224204,
2025,12,13,9,13125,109713,33,39,24,7,103,Metropolitano Norte,Municipal ,Quilicura,Centro Comunitario De Salud Familiar La Foresta,496.0,109324,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar La Foresta,Municipal,Quilicura,Vigente en Operación Habitual,True,20.766129032258064,
2025,12,13,9,13125,109715,13,21,12,16,62,Metropolitano Norte,Municipal ,Quilicura,Centro Comunitario De Salud Familiar Pucara De Lasana,374.0,109315,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Pucara de Lasana,Municipal,Quilicura,Vigente en Operación Habitual,True,16.577540106951872,
2025,12,13,9,13125,200304,38,41,58,41,178,Metropolitano Norte,Municipal ,Quilicura,Centro Comunitario De Salud Familiar Beato Padre Hurtado,322.0,109313,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Beato Padre Hurtado,Municipal,Quilicura,Vigente en Operación Habitual,True,55.27950310559007,
2025,12,13,9,13125,201091,271,284,393,198,1146,Metropolitano Norte,Municipal ,Quilicura,Cesfam Marta Ugarte Roman,3776.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Marta Ugarte Román,Municipal,Quilicura,Vigente en Operación Habitual,True,30.34957627118644,
2025,12,13,9,13127,109301,455,398,378,249,1480,Metropolitano Norte,Municipal ,Recoleta,Centro De Salud Familiar Recoleta,5003.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Recoleta,Municipal,Recoleta,Vigente en Operación Habitual,True,29.58225064961023,
2025,12,13,9,13127,109303,498,433,228,216,1375,Metropolitano Norte,Municipal ,Recoleta,Centro De Salud Familiar Quinta Bella,3605.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Quinta Bella,Municipal,Recoleta,Vigente en Operación Habitual,True,38.141470180305134,
2025,12,13,9,13127,109304,153,148,174,112,587,Metropolitano Norte,Municipal ,Recoleta,Centro De Salud Familiar Valdivieso,1400.0,,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Valdivieso,Municipal,Recoleta,Vigente en Operación Habitual,True,41.92857142857142,
