IdEstablecimiento,IdEstablecimiento_denominador_original,servicio_salud_denominador,dependencia_denominador,comuna_denominador,establecimiento_denominador,denominador_poblacion_inscrita_validada_mujeres_50_69,codigo_madre_master,IdServicio_master,servicio_salud_master,tipo_establecimiento_master,establecimiento_master,dependencia_master,IdComuna_master,comuna_master,estado_funcionamiento_master
109300,109300,Metropolitano Norte,Municipal ,Independencia,Centro De Salud Familiar Agustín Cruz Melo,7839,,9,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Agustín Cruz Melo,Municipal,13108,Independencia,Vigente en Operación Habitual
109301,109301,Metropolitano Norte,Municipal ,Recoleta,Centro De Salud Familiar Recoleta,5003,,9,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Recoleta,Municipal,13127,Recoleta,Vigente en Operación Habitual
109302,109302,Metropolitano Norte,Municipal ,Conchalí,Centro De Salud Familiar Lucas Sierra,3907,,9,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lucas Sierra,Municipal,13104,Conchalí,Vigente en Operación Habitual
109303,109303,Metropolitano Norte,Municipal ,Recoleta,Centro De Salud Familiar Quinta Bella,3605,,9,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Quinta Bella,Municipal,13127,Recoleta,Vigente en Operación Habitual
109304,109304,Metropolitano Norte,Municipal ,Recoleta,Centro De Salud Familiar Valdivieso,1400,,9,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Valdivieso,Municipal,13127,Recoleta,Vigente en Operación Habitual
109305,109305,Metropolitano Norte,Municipal ,Huechuraba,Centro De Salud Familiar  La Pincoya,3407,,9,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar La Pincoya,Municipal,13107,Huechuraba,Vigente en Operación Habitual
109307,109307,Metropolitano Norte,Municipal ,Recoleta,Centro De Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),3277,,9,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),Municipal,13127,Recoleta,Vigente en Operación Habitual
109308,109308,Metropolitano Norte,Municipal ,Conchalí,Centro De Salud Familiar Alberto Bachelet Martínez,3814,,9,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Alberto Bachelet Martínez,Municipal,13104,Conchalí,Vigente en Operación Habitual
109309,109309,Metropolitano Norte,Municipal ,Conchalí,Centro De Salud Familiar José Symon Ojeda,3245,,9,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar José Symon Ojeda,Municipal,13104,Conchalí,Vigente en Operación Habitual
109310,109310,Metropolitano Norte,Municipal ,Colina,Centro De Salud Familiar Colina,6482,,9,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Colina,Municipal,13301,Colina,Vigente en Operación Habitual
109311,109311,Metropolitano Norte,Municipal ,Lampa,Centro De Salud Familiar  José Bauza Frau,4347,,9,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar José Bauza Frau,Municipal,13302,Lampa,Vigente en Operación Habitual
109312,109312,Metropolitano Norte,Municipal ,Lampa,Centro De Salud Familiar Batuco,1666,,9,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Batuco,Municipal,13302,Lampa,Vigente en Operación Habitual
