Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,descripcion_prestacion,IdRegion,IdComuna,mujeres_mamografia_vigente,trans_masculino_mamografia_vigente,pueblos_originarios,migrantes,tramo_edad
12,14,2025,114330,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13110,288,0,10,6,50_54
12,14,2025,114330,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13110,287,0,10,6,55_59
12,14,2025,114330,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13110,310,0,5,1,60_64
12,14,2025,114330,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13110,235,0,4,2,65_69
12,14,2025,114329,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13201,295,0,4,10,50_54
12,14,2025,114329,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13201,302,0,15,8,55_59
12,14,2025,114329,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13201,264,0,9,9,60_64
12,14,2025,114329,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13201,142,0,13,5,65_69
12,14,2025,114311,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13112,240,0,0,0,50_54
12,14,2025,114311,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13112,225,0,0,0,55_59
12,14,2025,114311,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13112,230,0,0,0,60_64
12,14,2025,114311,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13112,158,0,0,0,65_69
12,14,2025,114310,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13202,90,0,0,0,50_54
12,14,2025,114310,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13202,122,0,1,4,55_59
12,14,2025,114310,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13202,108,0,2,0,60_64
12,14,2025,114310,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13202,63,0,0,1,65_69
12,14,2025,114308,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13112,223,0,12,1,50_54
12,14,2025,114308,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13112,221,0,19,1,55_59
12,14,2025,114308,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13112,194,0,12,0,60_64
12,14,2025,114308,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13112,109,0,4,0,65_69
12,11,2025,200346,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13102,6,0,0,1,50_54
12,10,2025,110325,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13126,404,0,15,36,60_64
12,10,2025,110325,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13126,219,0,6,18,65_69
12,14,2025,114315,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13111,338,0,2,6,50_54
12,14,2025,114315,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13111,366,0,1,6,55_59
12,14,2025,114315,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13111,343,0,1,2,60_64
12,14,2025,114315,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13111,297,0,1,2,65_69
12,14,2025,114309,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13112,661,0,32,2,50_54
12,14,2025,114309,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13112,497,0,22,7,55_59
12,14,2025,114309,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13112,359,0,12,0,60_64
12,14,2025,114309,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13112,136,0,12,10,65_69
12,10,2025,110325,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13126,77,0,14,71,50_54
12,10,2025,110325,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13126,383,0,19,60,55_59
12,12,2025,112303,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13123,357,0,6,51,65_69
12,11,2025,200643,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13119,25,0,4,0,50_54
12,11,2025,200643,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13119,23,0,2,0,55_59
12,11,2025,200643,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13119,24,0,1,0,60_64
12,11,2025,200643,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13119,11,0,1,2,65_69
