Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,descripcion_prestacion,IdRegion,IdComuna,mujeres_mamografia_vigente,trans_masculino_mamografia_vigente,pueblos_originarios,migrantes,tramo_edad
6,9,2025,109713,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13125,37,0,0,0,60_64
6,9,2025,109312,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13302,148,0,4,6,55_59
12,9,2025,109417,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13301,19,0,0,0,55_59
12,9,2025,109315,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13125,521,0,0,0,50_54
6,9,2025,200554,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13108,107,0,0,6,60_64
12,9,2025,109311,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13302,113,0,2,14,65_69
6,9,2025,109419,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13301,7,0,0,0,55_59
12,9,2025,109309,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13104,236,0,3,10,60_64
6,9,2025,109302,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13104,162,0,0,9,65_69
6,9,2025,109305,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13107,245,0,7,9,60_64
6,9,2025,109712,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13302,66,0,0,10,50_54
12,9,2025,109321,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13108,432,0,4,121,50_54
12,9,2025,109315,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13125,431,0,0,0,60_64
12,9,2025,109317,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13107,146,0,0,11,60_64
12,9,2025,109711,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13302,77,0,1,6,50_54
