Ano,IdRegion,IdServicio,IdComuna,IdEstablecimiento,servicio_salud_master,comuna_master,establecimiento_master,tipo_establecimiento_master,dependencia_master,estado_funcionamiento_master,codigo_madre_master,50_54 | Mes 6,50_54 | Mes 12,50_54 | Diferencia,55_59 | Mes 6,55_59 | Mes 12,55_59 | Diferencia,60_64 | Mes 6,60_64 | Mes 12,60_64 | Diferencia,65_69 | Mes 6,65_69 | Mes 12,65_69 | Diferencia,numerador_mujeres_50_69 | Mes 6,numerador_mujeres_50_69 | Mes 12,numerador_mujeres_50_69 | Diferencia,Total mes 6,Total mes 12,Diferencia,Variacion %,Alerta
2025,13,11,13102,200346,Servicio de Salud Metropolitano Central,Cerrillos,Centro Comunitario de Salud Familiar Buzeta,Centro Comunitario de Salud Familiar (CECOSF),Servicio de Salud,Vigente en Operación Habitual,111307,41,6,-35,44,5,-39,24,5,-19,12,4,-8,121,20,-101,121,20,-101,-83.47,Baja de mes 6 a mes 12
2025,13,11,13102,111305,Servicio de Salud Metropolitano Central,Cerrillos,Centro de Salud Familiar Dr. Norman Voulliéme,Centro de Salud Familiar (CESFAM),Servicio de Salud,Vigente en Operación Habitual,,632,253,-379,642,225,-417,593,222,-371,385,166,-219,2252,866,-1386,2252,866,-1386,-61.55,Baja de mes 6 a mes 12
2025,13,11,13102,111307,Servicio de Salud Metropolitano Central,Cerrillos,Centro de Salud Familiar Enfermera Sofía Pincheira,Centro de Salud Familiar (CESFAM),Servicio de Salud,Vigente en Operación Habitual,,96,195,99,74,184,110,81,192,111,21,140,119,272,711,439,272,711,439,161.4,Aumento esperado
2025,13,11,13106,111781,Servicio de Salud Metropolitano Central,Estación Central,Centro Comunitario de Salud Familiar Villa Francia,Centro Comunitario de Salud Familiar (CECOSF),Servicio de Salud,Vigente en Operación Habitual,111306,26,18,-8,24,19,-5,18,11,-7,8,3,-5,76,51,-25,76,51,-25,-32.89,Baja de mes 6 a mes 12
2025,13,11,13106,111310,Servicio de Salud Metropolitano Central,Estación Central,Centro de Salud Familiar Las Mercedes,Centro de Salud Familiar (CESFAM),Servicio de Salud,Vigente en Operación Habitual,,134,260,126,115,133,18,122,105,-17,58,98,40,429,596,167,429,596,167,38.93,Aumento esperado
2025,13,11,13106,111302,Servicio de Salud Metropolitano Central,Estación Central,Centro de Salud Familiar Padre Vicente Irarrázabal,Centro de Salud Familiar (CESFAM),Servicio de Salud,Vigente en Operación Habitual,,126,141,15,171,145,-26,198,102,-96,136,76,-60,631,464,-167,631,464,-167,-26.47,Baja de mes 6 a mes 12
2025,13,11,13106,111306,Servicio de Salud Metropolitano Central,Estación Central,Centro de Salud Familiar San José de Chuchunco,Centro de Salud Familiar (CESFAM),Servicio de Salud,Vigente en Operación Habitual,,248,129,-119,303,136,-167,271,179,-92,106,84,-22,928,528,-400,928,528,-400,-43.1,Baja de mes 6 a mes 12
2025,13,11,13119,201674,Servicio de Salud Metropolitano Central,Maipú,CESFAM El Abrazo Dr. Salvador Allende Gossens,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,71,164,93,63,137,74,74,156,82,40,111,71,248,568,320,248,568,320,129.03,Aumento esperado
2025,13,11,13119,111784,Servicio de Salud Metropolitano Central,Maipú,Centro Comunitario de Salud Familiar Bueras,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,111378,0,45,45,0,34,34,0,50,50,0,19,19,0,148,148,0,148,148,0.0,Aparece solo en mes 12
2025,13,11,13119,111780,Servicio de Salud Metropolitano Central,Maipú,Centro Comunitario de Salud Familiar Europa,Centro Comunitario de Salud Familiar (CECOSF),Servicio de Salud,Vigente en Operación Habitual,111304,0,13,13,0,16,16,0,15,15,0,4,4,0,48,48,0,48,48,0.0,Aparece solo en mes 12
