Ano,IdRegion,IdServicio,IdComuna,IdEstablecimiento,servicio_salud_master,comuna_master,establecimiento_master,tipo_establecimiento_master,dependencia_master,estado_funcionamiento_master,codigo_madre_master,50_54 | Mes 6,50_54 | Mes 12,50_54 | Diferencia,55_59 | Mes 6,55_59 | Mes 12,55_59 | Diferencia,60_64 | Mes 6,60_64 | Mes 12,60_64 | Diferencia,65_69 | Mes 6,65_69 | Mes 12,65_69 | Diferencia,numerador_mujeres_50_69 | Mes 6,numerador_mujeres_50_69 | Mes 12,numerador_mujeres_50_69 | Diferencia,Total mes 6,Total mes 12,Diferencia,Variacion %,Alerta
2025,13,14,13201,114301,Servicio de Salud Metropolitano Sur Oriente,Puente Alto,Centro de Salud Familiar Dr. Alejandro del Río,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,852,192,-660,971,195,-776,1181,216,-965,756,142,-614,3760,745,-3015,3760,745,-3015,-80.19,Baja de mes 6 a mes 12
2025,13,14,13201,114322,Servicio de Salud Metropolitano Sur Oriente,Puente Alto,Centro de Salud Familiar Padre Manuel Villaseca,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,495,102,-393,590,125,-465,708,139,-569,446,88,-358,2239,454,-1785,2239,454,-1785,-79.72,Baja de mes 6 a mes 12
2025,13,14,13201,114312,Servicio de Salud Metropolitano Sur Oriente,Puente Alto,Centro de Salud Familiar San Gerónimo,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,589,130,-459,572,131,-441,591,115,-476,365,77,-288,2117,453,-1664,2117,453,-1664,-78.6,Baja de mes 6 a mes 12
2025,13,14,13201,114332,Servicio de Salud Metropolitano Sur Oriente,Puente Alto,Centro de Salud Familiar Laurita Vicuña,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,331,68,-263,429,67,-362,542,92,-450,366,53,-313,1668,280,-1388,1668,280,-1388,-83.21,Baja de mes 6 a mes 12
2025,13,11,13102,111305,Servicio de Salud Metropolitano Central,Cerrillos,Centro de Salud Familiar Dr. Norman Voulliéme,Centro de Salud Familiar (CESFAM),Servicio de Salud,Vigente en Operación Habitual,,632,253,-379,642,225,-417,593,222,-371,385,166,-219,2252,866,-1386,2252,866,-1386,-61.55,Baja de mes 6 a mes 12
2025,13,14,13201,114320,Servicio de Salud Metropolitano Sur Oriente,Puente Alto,Centro de Salud Familiar Bernardo Leighton,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,368,84,-284,390,65,-325,325,95,-230,99,59,-40,1182,303,-879,1182,303,-879,-74.37,Baja de mes 6 a mes 12
2025,13,12,13122,112316,Servicio de Salud Metropolitano Oriente,Peñalolén,Centro de Salud Familiar Carol Urzúa Ibáñez,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,1076,741,-335,1076,733,-343,867,614,-253,145,281,136,3164,2369,-795,3164,2369,-795,-25.13,Baja de mes 6 a mes 12
2025,13,9,13127,109307,Servicio de Salud Metropolitano Norte,Recoleta,Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,368,135,-233,398,154,-244,417,176,-241,209,141,-68,1392,606,-786,1392,606,-786,-56.47,Baja de mes 6 a mes 12
2025,13,12,13122,112314,Servicio de Salud Metropolitano Oriente,Peñalolén,Centro de Salud Familiar La Faena,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,422,237,-185,369,147,-222,305,121,-184,143,48,-95,1239,553,-686,1239,553,-686,-55.37,Baja de mes 6 a mes 12
2025,13,14,13112,114319,Servicio de Salud Metropolitano Sur Oriente,La Pintana,Centro de Salud Familiar El Roble,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,454,300,-154,387,253,-134,467,319,-148,448,279,-169,1756,1151,-605,1756,1151,-605,-34.45,Baja de mes 6 a mes 12
2025,13,14,13131,114307,Servicio de Salud Metropolitano Sur Oriente,San Ramón,Centro de Salud Familiar La Bandera,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,247,121,-126,220,80,-140,150,58,-92,90,30,-60,707,289,-418,707,289,-418,-59.12,Baja de mes 6 a mes 12
2025,13,11,13106,111306,Servicio de Salud Metropolitano Central,Estación Central,Centro de Salud Familiar San José de Chuchunco,Centro de Salud Familiar (CESFAM),Servicio de Salud,Vigente en Operación Habitual,,248,129,-119,303,136,-167,271,179,-92,106,84,-22,928,528,-400,928,528,-400,-43.1,Baja de mes 6 a mes 12
2025,13,14,13131,114314,Servicio de Salud Metropolitano Sur Oriente,San Ramón,Centro de Salud Familiar Dr. Salvador Allende (Ex Consultorio San Ramón),Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,414,332,-82,475,315,-160,466,355,-111,238,241,3,1593,1243,-350,1593,1243,-350,-21.97,Baja de mes 6 a mes 12
2025,13,10,13117,110345,Servicio de Salud Metropolitano Occidente,Lo Prado,Centro de Salud Familiar Dr. Carlos Avendaño,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,304,227,-77,343,215,-128,347,270,-77,192,147,-45,1186,859,-327,1186,859,-327,-27.57,Baja de mes 6 a mes 12
2025,13,9,13127,109303,Servicio de Salud Metropolitano Norte,Recoleta,Centro de Salud Familiar Quinta Bella,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,498,498,0,468,433,-35,498,228,-270,199,216,17,1663,1375,-288,1663,1375,-288,-17.32,Baja de mes 6 a mes 12
2025,13,10,13124,110351,Servicio de Salud Metropolitano Occidente,Pudahuel,Centro de Salud Familiar Pudahuel Poniente,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,352,220,-132,207,145,-62,193,163,-30,152,119,-33,904,647,-257,904,647,-257,-28.43,Baja de mes 6 a mes 12
2025,13,14,13111,114306,Servicio de Salud Metropolitano Sur Oriente,La Granja,Centro de Salud Familiar La Granja,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,179,117,-62,150,76,-74,134,81,-53,110,44,-66,573,318,-255,573,318,-255,-44.5,Baja de mes 6 a mes 12
